Vendor,Category,Subcategory,Spend
EvoCarShare,Transportation,Car Share,5
CITY OF VAN PAYBYPHONE,,,2.33
CITY OF VAN PAYBYPHONE,,,0.25
CINEPLEX #1145,,,31.25
SAVE ON FOODS #2219,,,80.47
CITY OF VAN PAYBYPHONE,,,5
PETSMART INC. 2362,,,52.5
CITY OF VAN PAYBYPHONE,,,2
CITY OF VAN PAYBYPHONE,,,1.25
EVO CAR SHARE,,,5.25
CITY OF VAN PAYBYPHONE,,,1
EvoCarShare,,,2.24
CRAVE,Subscriptions,Crave,11
TACOFINO OCHO,,,5.99
LONDON DRUGS,,,31.03
SAVE ON FOODS #2219,,,79.26
COSTCO WHOLESALE W552,,,87.16
CITY OF VAN PAYBYPHONE,,,0.5
TICKETLEADER ONLINE PN,,,7.92
Property Management,,,1100
NETFLIX.COM,,,10.69
EvoCarShare,,,2.24
WESTPARK,,,0.5
TICKETLEADER ONLINE PN,,,7.92
CITY OF VAN PAYBYPHONE,,,0.5
COMPASS ACCOUNT,Transportation,Translink,3
WESTPARK,,,0.33
BROADWAY ESSO 37883,,,74.69
BROADWAY ESSO 37883,Car,Gas,50
PETSMART INC. 2362,,,26.18
Property Management,,,1100
CITY OF VAN PAYBYPHONE,,,0.25
STARBUCKS 04327,,,3.99
PETSMART INC. 2362,,,17.15
WESTPARK,,,0.33
TICKETLEADER ONLINE PN,,,7.92
CITY OF VAN PAYBYPHONE,,,1
DISNEY PLUS,,,8.99
CITY OF VAN PAYBYPHONE,,,0.75
BENKEI RAMEN,,,12.95
KOODO MOBILE PAC,,,56
COSTCO WHOLESALE W552,,,8.97
CITY OF VAN PAYBYPHONE,,,1.67
WESTPARK,,,2
COSTCO WHOLESALE W552,,,8.97
MCCLEERY GOLF CLUBHOUSE,,,15.75
TICKETLEADER ONLINE PN,,,106
MODO,Transportation,Car Share,5
CITY OF VAN PAYBYPHONE,,,1
WESTPARK,,,8
NOFRILLS JOTI'S #3403,,,27.72
WHOLE FOODS MARKET,,,26.85
TICKETLEADER ONLINE PN,,,106
CITY OF VAN PAYBYPHONE,,,2
EVO CAR SHARE,,,10.99
BROADWAY ESSO 37883,,,68.16
JJ BEAN,,,4.25
LONDON DRUGS,,,89.18
WHITE SPOT #104,,,32.25
STARBUCKS 04327,,,5.26
CITY OF VAN PAYBYPHONE,,,0.5
CITY OF VAN PAYBYPHONE,,,0.5
CRAVE,,,11.19
